Name,Quantity,Discount,Price,Link
Coriander Leaves,1 kg,24% OFF,₹210.52,bigbasket.com/pd/10000326/fresho-coriander-leaves-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=1&t_s=Coriander+Leaves
Potato,N/A,36% OFF,₹27,bigbasket.com/pd/40048457/fresho-potato-new-crop-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=2&t_s=Potato
Onion,2 kg,39% OFF,₹56,bigbasket.com/pd/10000149/fresho-onion-2-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=3&t_s=Onion
Local Tomato,250 g,24% OFF,₹17.48,bigbasket.com/pd/40312601/fresho-tomato-local-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=4&t_s=Local%2520Tomato
Carrot - Orange,1 kg,42% OFF,₹82,bigbasket.com/pd/10000070/fresho-carrot-orange-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=5&t_s=Carrot%2520-%2520Orange
Yelakki Banana,250 g,42% OFF,₹21,bigbasket.com/pd/40324709/fresho-banana-yelakki-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=6&t_s=Yelakki%2520Banana
Ladies’ Fingers,250 g,52% OFF,₹20.5,bigbasket.com/pd/10000143/fresho-ladies-finger-250-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=7&t_s=Ladies%25E2%2580%2599%2520Fingers
Cucumber,500 g,59% OFF,₹17,bigbasket.com/pd/10000103/fresho-cucumber-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=8&t_s=Cucumber
Tomato - Hybrid,500 g,24% OFF,₹29.64,bigbasket.com/pd/10000201/fresho-tomato-hybrid-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=9&t_s=Tomato%2520-%2520Hybrid
Lemon,1 kg,20% OFF,₹55.2,bigbasket.com/pd/10000335/fresho-lemon-1-kg/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=10&t_s=Lemon
Capsicum - Green,500 g,24% OFF,₹36.48,bigbasket.com/pd/10000069/fresho-capsicum-green-500-g/?nc=cl-prod-list&t_pos_sec=2&t_pos_item=11&t_s=Capsicum%2520-%2520Green
