NAME,COUNTRY,PROVIDER,ADDRESSS
Australia East-New South Wales,australia,Microsoft Azure,"1 Denison Street, North Sydney New South Wales 2060, Australia"
SYD51,australia,Amazon AWS,"1 William Dean Street, Eastern Creek NSW 2766, Australia"
SYD52,australia,Amazon AWS,"42A Bluett Drive, Smeaton Grange NSW 2567, Australia"
Australia Southeast-Victoria,australia,Microsoft Azure,"338-352 Bourke Street, Melbourne VIC, Australia"
MEL01 Australia Data Center,australia,Stack Infrastructure,"Truganina VIC, Australia"
Australia Central-Canberra,australia,Microsoft Azure,"Canberra ACT, Australia"
SY3 Alexandria Data Center,australia,Equinix,"47 Bourke Road, Alexandria NSW, Australia"
SY5 Sydney Data Center,australia,Equinix,"200 Bourke Road, Alexandria NSW, Australia"
Eastern Creek Campus,australia,CDC Data Centres,"17 Roberts Rd, Eastern Creek NSW 2766, Australia"
SY1 Mascot Data Center,australia,Equinix,"639 Gardeners Road, Mascot NSW, Australia"
ME1 Port Melbourne Data Center,australia,Equinix,"578 Lorimer Street, Port Melbourne VIC, Australia"
AWS MEL - 22 Delivery,australia,Amazon AWS,"22 Delivery Dr, Truganina VIC 3029, Australia"
SY4 Alexandria Data Center,australia,Equinix,"200 Bourke Road, Alexandria NSW, Australia"
SY6 Sydney Data Center,australia,Equinix,"8-14 Egerton Street, Silverwater NSW 2128, Australia"
ME4 Melbourne Data Center,australia,Equinix,"2 Davis Court, Derrimut VIC 3030, Australia"
SY9X Sydney xScale Data Center,australia,Equinix,"10 Grand Avenue, Rosehill NSW 2142, Australia"
Sydney East Data Center,australia,Global Switch,"400 Harris Street, Ultimo NSW 2007, Australia"
M2 Melbourne Data Center,australia,NexTDC,"75 Sharps Rd, Tullamarine VIC 3043, Australia"
SYD1 Sydney West Data Center,australia,Airtrunk,"35 Huntingwood Dr, Huntingwood NSW, Australia"
Australia East ap-sydney-1,australia,Oracle,"Sydney NSW, Australia"
Woods Road,australia,Microsoft Azure,"Woods Rd, Truganina VIC 3029, Australia"
SY7 Sydney Data Center,australia,Equinix,"Lathe Place, Unanderra NSW 2526, Australia"
PE2 Perth Data Center,australia,Equinix,"1/37 Lemnos Street, Shenton Park WA 6008, Australia"
SYD3 Sydney West Data Center,australia,Airtrunk,"51 Huntingwood Dr, Huntingwood NSW 2148, Australia"
SYD7 (Fujitsu SDC),australia,Amazon AWS,"4 Figtree Drive, Sydney Olympic Park NSW, Australia"
Melbourne MEL11 Data Center,australia,Digital Realty,"72 Radnor Drive, Deer Park VIC, Australia"
SYD2 Sydney North Data Center,australia,Airtrunk,"1 Sirius Road, Lane Cove West NSW 2066, Australia"
Cawley Road Data Center,australia,Microsoft Azure,"20-28 Cawley Rd, Yarraville VIC 3013, Australia"
BR1 Brisbane Data Center,australia,Equinix,"54-58 Alfred Street, Fortitude Valley QLD, Australia"
ME5 Melbourne Data Center,australia,Equinix,"22-36 Walsh Street, West Melbourne VIC 3003, Australia"
Australia Southeast ap-melbourne-1,australia,Oracle,"Melbourne VIC, Australia"
M1 Melbourne Data Center,australia,NexTDC,"826 Lorimer St, Port Melbourne VIC 3207, Australia"
