Site Location:,Legal Description:,,Map Number:,Municipality:,School District,Property Type:,Homestead Status - Next School Bill Cycle:,Homestead Status - Current School Bill Cycle:,Homestead %,Homestead Approved Year,Additional Info:,Veteran's Exemption:
2929 CARTER AVE,,50 X 130,07-07 -088:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2945 CARTER AVE,,75 X 122 IRR,07-07 -091:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2949 CARTER AVE,,50 X 115 X IRR,07-07 -093:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2951 CARTER AVE,,50 X 105,07-07 -094:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2953 CARTER AVE,,50 X 100,07-07 -095:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2955 CARTER AVE,,A31 X 85 X 60,07-07 -096:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,-,No
3001 CARTER AVE,,40 X 85 X IRR,07-07 -097:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2022,-,No
3003 CARTER AVE,,50 X 105,07-07 -098:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,BD - BOARD DECISION,No
3009 CARTER AVE,,50 X 105,07-07 -101:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
3013 CARTER AVE,,50 X 105,07-07 -103:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2005,BD - BOARD DECISION,No
2926 CARTER AVE,,50 X 105,07-07 -056:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2010,-,No
2932 CARTER AVE,,50 X 105,07-07 -057:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2938 CARTER AVE,,50 X 105,07-07 -058:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,Yes,No,100,2007,-,No
2948 CARTER AVE,,50 X 105 X 70 X 105,07-07 -060:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
2952 CARTER AVE,,50 X 105,07-07 -061:000,07 CHESTER TWP.,S01 - CHESTER UPLAND,01 - Taxable Residential,No,No,,,-,No
